id,created,modified,bottle_size,bottle_notes,bottle_unit
9,11/12/2019 1:47,11/12/2019 1:47,1,with cap,L
2,11/12/2019 1:45,11/12/2019 1:45,25,with cap,MLS
1,11/12/2019 1:45,11/12/2019 1:45,25,with dropper,MLS
4,11/12/2019 1:46,11/12/2019 1:46,50,with cap,MLS
3,11/12/2019 1:45,11/12/2019 1:45,50,with dropper,MLS
6,11/12/2019 1:47,11/12/2019 1:47,100,with cap,MLS
5,11/12/2019 1:46,11/12/2019 1:46,100,with dropper,MLS
7,11/12/2019 1:47,11/12/2019 1:47,200,with cap,MLS
8,11/12/2019 1:47,11/12/2019 1:47,500,with cap,MLS
