created,modified,formula_settings_id,formula_bottle_size,formula_bottle_cost,formula_bottle_size_mu,formula_bottle_size_min_rrp,formula_dispensing_fee
11/12/2019 1:52,11/12/2019 1:52,9,9,2.95,60,159.9,4.95
11/12/2019 1:49,11/12/2019 1:49,2,1,2,60,14.95,0
11/12/2019 1:48,11/12/2019 1:48,1,2,2,60,9.95,0
11/12/2019 1:50,11/12/2019 1:50,4,3,2,60,14.95,0
11/12/2019 1:49,11/12/2019 1:49,3,4,2,60,14.95,0
11/12/2019 1:51,11/12/2019 1:51,6,6,2,60,24.95,0
11/12/2019 1:50,11/12/2019 1:50,5,5,2,60,24.95,0
11/12/2019 1:51,11/12/2019 1:51,7,7,2,60,42.95,0
11/12/2019 1:52,11/12/2019 1:52,8,8,2,60,79.95,4.95
